# w_1 w_2 DS VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.497226806469906579e+00 6.834433574635100372e-01 0.000000000000000000e+00 7.054823293629315373e-01 1.133154709830633960e-01 1.113199167228196354e-02 6.730482094597933784e-01 2.108166488596727450e-01 1.701827685166414739e+01 5.124323297493501350e+00 3.760262572394321712e+00 6.229319571686091628e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.497226806469906579e+00 6.834433574635100372e-01 1.000000000000000000e+00 1.904484246653380231e+00 1.132087721447076339e-01 1.114787990056559028e-02 6.727304672391087870e-01 2.109672366688183642e-01 1.701862989857752240e+01 5.124520133870170469e+00 3.760558407492670341e+00 6.229152251897879466e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.076342377489486912e+00 9.326375693156155888e-01 0.000000000000000000e+00 1.343532574639750621e+00 1.169465261903491066e-01 1.760170397179367519e-01 6.837489343731653069e-01 8.388877182361248463e-01 1.139922872304072143e+01 8.817136044607979173e+00 6.661606296445420128e+00 9.230952183003234168e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.076342377489486912e+00 9.326375693156155888e-01 1.000000000000000000e+00 1.877889961694843013e+00 1.168419032449485584e-01 1.755735484923282574e-01 6.834431517709226300e-01 8.378299720001229911e-01 1.139956848149589952e+01 8.817327917216132960e+00 6.660067887118615637e+00 9.232127456597886805e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.726800232859293516e+00 8.211053880844974839e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.648350137324833597e-01 6.125056664506292798e-05 1.029042485972053944e+00 1.545477059115923577e-02 1.999800009999479400e+01 7.567846467839050074e-14 5.688815062927862876e+00 1.577094812900191378e+00 0.000000000000000000e+00 2.372974961199439292e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.726800232859293516e+00 8.211053880844974839e-02 1.000000000000000000e+00 0.000000000000000000e+00 2.648350137304859020e-01 5.870216328827366445e-05 1.029042485968172382e+00 1.512528407428751637e-02 1.999800010000000228e+01 0.000000000000000000e+00 5.689307115114242031e+00 1.577460909029601899e+00 0.000000000000000000e+00 2.372974961199586730e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.994321324946323859e+00 1.759152274454754972e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 5.636994932600859487e-01 1.999800009999999961e+00 1.501398504454900751e+00 1.999800009998766370e+01 4.633708605707133721e+00 7.887229313078408133e+00 1.758081985251652668e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.125995221846821992e-01 0.000000000000000000e+00
1.994321324946323859e+00 1.759152274454754972e+00 1.000000000000000000e+00 0.000000000000000000e+00 9.999999999998985256e-01 6.139361390210407166e-01 1.999800009999898487e+00 1.566881788205763737e+00 1.999800010000000228e+01 4.661677023759171590e+00 2.349657999799970476e+00 1.750806064834841891e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.125995222667450835e-01 0.000000000000000000e+00
1.525841745683849338e+00 5.117482861460961319e-01 0.000000000000000000e+00 4.871167827309497156e-01 4.005271635820380205e-02 0.000000000000000000e+00 4.000641352074432722e-01 0.000000000000000000e+00 1.791774460672131752e+01 3.081039043665469546e+00 2.788831585090894905e+00 4.277628930043624322e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525841745683849338e+00 5.117482861460961319e-01 1.000000000000000000e+00 1.815940004579738032e+00 4.004161017854178384e-02 0.000000000000000000e+00 4.000090281549658067e-01 0.000000000000000000e+00 1.791780583678231409e+01 3.081061935006094821e+00 2.788778335597027702e+00 4.277628930046038391e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.791782352843848236e-01 1.975331796534064210e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.035193137544178653e-03 9.999999999999998890e-01 1.675565536430796698e-01 1.999800009999999739e+00 2.026149931560718986e+00 5.676321206473541991e+00 2.730152692721325547e+00 1.999800010000000228e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.556008725699675077e+00
3.791782352843848236e-01 1.975331796534064210e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.357829514033433894e-06 1.000000000000000000e+00 2.877563193311045639e-03 1.999800009999999961e+00 2.209126587617868953e+00 5.638916287412707007e+00 5.619435355652347752e+00 1.999800009993770900e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.556008725597823217e+00
1.559047840948189823e+00 7.236863207765726891e-01 0.000000000000000000e+00 6.775130005853897686e-01 3.091125488756693018e-01 3.077232899884730158e-02 1.111757838905322426e+00 3.506409354469419148e-01 1.724769163421643725e+01 5.219316351247044850e+00 3.953996510298751321e+00 6.491133746782170810e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.559047840948189823e+00 7.236863207765726891e-01 1.000000000000000000e+00 1.896731106655492827e+00 3.092736752881600215e-01 3.083268676880139211e-02 1.112048182093806181e+00 3.509848508028424185e-01 1.724736903066792237e+01 5.219076678060679875e+00 3.953705982197247781e+00 6.490751618609371221e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
