# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
6.582105065937857269e+00 7.783601783760691006e+00 1.000000000000000000e+00 -3.358678172164883957e-01 1.415619399464393302e+00 1.712644966102629729e+00 1.534033990800151686e-06 4.144751465951471148e-01 4.691064023823710571e-01 1.287108748479618869e+00 1.373663105090244585e+00 1.286265701065046407e+01 1.507679057477261431e+01 1.467623925701450283e+01 1.609063641923640375e+01 6.471091950661234356e-07 4.296852551648841799e-05 3.011530181103085221e-04 0.000000000000000000e+00
7.338119628507252301e+00 8.045318209618201877e+00 1.000000000000000000e+00 -3.722116165720601444e-01 1.413017774499562007e+00 1.642558992356317527e+00 1.442752840933109498e-06 2.431492290636451392e-01 5.486738431343249900e-01 9.892866935577292464e-01 1.481729999717517510e+00 1.503344158706730482e+01 1.653670317551986102e+01 1.484152744306042493e+01 1.643094906572480340e+01 2.792707476697516783e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.420763721530213353e+00 8.215474532862401702e+00 1.000000000000000000e+00 -3.960075839474239690e-01 1.389711509862189942e+00 1.618273322242961942e+00 1.425796634502759623e-06 3.110204933602978006e-01 5.369769707315786844e-01 1.112862094232861754e+00 1.465070299097885886e+00 1.503603773060059901e+01 1.674464165872650412e+01 1.383084953436880760e+01 1.684290351813740827e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.915424767184403798e+00 8.421451759068704135e+00 1.000000000000000000e+00 -4.257572830107445583e-01 1.269757045322420064e+00 1.678728388656090642e+00 1.404836665597670892e-06 4.309504556373252027e-01 8.247970895655641899e-01 1.324210758660001597e+00 1.815915227634263829e+00 1.350618458075326345e+01 1.600556636284037992e+01 1.440731006569164663e+01 1.716869129512977210e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.203655032845823314e+00 8.584345647564886050e+00 1.000000000000000000e+00 -4.555539679190030444e-01 1.261788726171314767e+00 1.627103337990678966e+00 1.286350227482238572e-06 3.089668261137148431e-01 9.153341851045745381e-01 1.108328593455988331e+00 1.921243531061015863e+00 1.440417255417111519e+01 1.720541557000348121e+01 1.518926753549268405e+01 1.733980134961186437e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.594633767746342023e+00 8.669900674805932184e+00 1.000000000000000000e+00 -4.713458469853160082e-01 1.238941773407389091e+00 1.618366532621978715e+00 1.211268073034324175e-06 4.593015916236037888e-01 9.321870215553217376e-01 1.356598041056389370e+00 1.924705882134382540e+00 1.507860143426468547e+01 1.723766864849522307e+01 1.579394059363218084e+01 1.746426932898370410e+01 1.407327677460072787e-05 0.000000000000000000e+00 9.977231084226493869e-04 0.000000000000000000e+00
7.896970296816089530e+00 8.732134664491852050e+00 1.000000000000000000e+00 -4.817885336968397159e-01 1.230365261515406816e+00 1.606057671090913574e+00 1.182599789608322854e-06 7.383717748898273037e-01 9.324337080821464285e-01 1.706760239330462614e+00 1.925190432806394458e+00 1.542736194823434737e+01 1.706858799323514475e+01 1.596475907021943463e+01 1.753670719603061556e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.391076433017647084e-04 9.483320598122253493e-04
7.982379535109717317e+00 8.768353598015307782e+00 1.000000000000000000e+00 -4.908759779243414556e-01 1.226375449048322741e+00 1.591872595102994170e+00 1.167237577569227806e-06 8.222900277454546769e-01 9.414330688832502902e-01 1.812689514567312976e+00 1.934019716626723229e+00 1.552558078048910595e+01 1.718203533574137865e+01 1.598314785248628311e+01 1.758772884683493132e+01 1.179779169130052853e-06 1.586492364599260153e-06 1.220791800787564122e-04 6.855078743209967003e-04
7.991573926243141557e+00 8.793864423417465659e+00 1.000000000000000000e+00 -4.971916843530279628e-01 1.217459039599453341e+00 1.588157591694490556e+00 1.155084675356741858e-06 8.204838581096907113e-01 9.522107307981106938e-01 1.812234997257056168e+00 1.945603264781195607e+00 1.554416091238920217e+01 1.723121327368620470e+01 1.601392285412998717e+01 1.763576956656820016e+01 1.223109413075099145e-06 2.078096930164537990e-06 1.546783888908419182e-04 6.505216298903614830e-04
8.006961427064993586e+00 8.817884783284100081e+00 1.000000000000000000e+00 -5.035555691946498325e-01 1.212696500193417126e+00 1.580192361417283031e+00 1.143313464412511244e-06 8.237091526887891924e-01 9.608031865184688547e-01 1.817133177421845769e+00 1.954992799859094132e+00 1.557147268193254952e+01 1.728640042481979933e+01 1.604013394511017054e+01 1.767962634470990935e+01 1.123275661514799329e-06 4.189925354689190653e-06 1.740825025300644002e-04 5.655260654091699484e-04
8.020066972555085272e+00 8.839813172354954673e+00 1.000000000000000000e+00 -5.096012170090367110e-01 1.211688127089039391e+00 1.569109438892887010e+00 1.132257459519191065e-06 8.251694942096207130e-01 9.682078564869626147e-01 1.819172028855124745e+00 1.963259744781125304e+00 1.559502701738146868e+01 1.733732472184245665e+01 1.606440353070464155e+01 1.771904824608771634e+01 6.485380209851289373e-07 6.256276510223686421e-06 1.884397052932569464e-04 4.827471679359098119e-04
8.032201765352320777e+00 8.859524123043858168e+00 1.000000000000000000e+00 -5.152322499425054936e-01 1.214368814987561773e+00 1.555166685127427062e+00 1.122109738937059192e-06 8.264236015629209398e-01 9.745025158539231125e-01 1.820515398736424206e+00 1.970402570099665240e+00 1.561642299916958265e+01 1.738444771201560357e+01 1.608601554893473207e+01 1.775370090397905898e+01 0.000000000000000000e+00 8.476761028289274001e-06 1.889124835370015458e-04 3.978620073439702331e-04
8.043007774467366033e+00 8.876850451989529489e+00 1.000000000000000000e+00 -5.203249133535832183e-01 1.220297683447851611e+00 1.539052489844981775e+00 1.113063263366504400e-06 8.274742274086673843e-01 9.798318004805746106e-01 1.821388871002779686e+00 1.976531950384080583e+00 1.563504695855953130e+01 1.742654045596255941e+01 1.610483671829470964e+01 1.778346936078827412e+01 0.000000000000000000e+00 9.093874749118532167e-06 1.703195520205014874e-04 3.157846221357969783e-04
8.052418359147354820e+00 8.891734680394137058e+00 1.000000000000000000e+00 -5.247999317305840350e-01 1.228897544383373397e+00 1.521502592155458355e+00 1.105225807372040946e-06 8.283984914174367109e-01 9.843000329209856680e-01 1.822023794561589805e+00 1.981719178048810370e+00 1.565088197990920449e+01 1.746311238707950153e+01 1.612080635091260916e+01 1.780847444525093337e+01 0.000000000000000000e+00 8.429105008177006025e-06 1.396085215472626484e-04 2.422517805999624581e-04
8.060403175456304581e+00 8.904237222625466686e+00 1.000000000000000000e+00 -5.286261683179478421e-01 1.239508932813709885e+00 1.503238730550394253e+00 1.098605023024724535e-06 8.292021379675287296e-01 9.880050123129311412e-01 1.822510797358053214e+00 1.986041690216629130e+00 1.566401690431103155e+01 1.749403644169171912e+01 1.613400975485632571e+01 1.782904726865805145e+01 0.000000000000000000e+00 7.081385012411971337e-06 1.032514627561000590e-04 1.817787427972016837e-04
