# w_1 w_2 VF 
2.222943674956230353e+00 8.471594481748399019e+00 -1.398372235980205325e-01
1.569928620465361524e+00 9.647022574193810485e+00 -1.007683791491415182e+00
9.816524315472152651e+00 6.930661669440358885e+00 -9.400632165909486027e-01
2.551284696063790935e+00 4.252583875839286875e+00 4.350941447982314969e-02
1.917460230489359319e+00 7.388113734353774831e+00 -1.034759565692211503e-01
5.135465703030224205e+00 2.120688449581104695e+00 -7.153100934243006304e-01
8.283867941033900451e+00 6.002726050151593107e+00 -4.864949011642301091e-01
4.542639831472601308e+00 2.686890183177435887e+00 -5.721164843560246904e-01
8.662121051717486253e+00 6.873042396926836162e+00 -4.850044442580658810e-01
6.497772106347847743e-01 3.075206554802434766e+00 -5.786339839209233560e-01
4.400234308062040967e+00 4.101721366620264320e+00 -2.658042814185468394e-01
7.146455591547860919e+00 3.630778957490627956e+00 -5.849435105023141901e-01
5.607996168387382241e+00 9.811416069014252672e-01 -9.147081472438147731e-01
7.545401117353940812e+00 7.003415742968032376e+00 -1.969808475734208253e-01
8.558536532782548889e+00 6.963800987728208547e+00 -4.416423262535778549e-01
3.167744669403821600e+00 8.487082692331014755e+00 3.537837949461120068e-02
6.774007721560955986e+00 6.002706096011717563e+00 -2.490060167520096179e-01
3.889399853272798691e+00 9.721880644733769117e+00 -8.709665830482480331e-01
8.765465987458615160e+00 6.447844306793240499e+00 -5.534045336943766991e-01
7.825888855453159820e+00 8.224937968485006579e+00 1.814376214602020365e-02
2.499260008994020676e+00 9.617163346533413204e+00 -7.493581585381564603e-01
6.590789578211391664e+00 4.057562246121727334e+00 -4.934248850691742572e-01
3.786132242507811441e-01 4.919440934191587900e+00 -8.921947425878151705e-01
6.953107764135245006e+00 6.374159866827485921e+00 -2.008921882922016788e-01
5.158044885497052867e+00 5.433975829133849800e+00 -5.411418510683008165e-02
9.539359452017000862e+00 4.954002786982830031e+00 -8.466149970160942173e-01
6.779583026673762447e+00 5.906175668384991972e+00 -2.648524742298834500e-01
5.614534902347858569e+00 4.802577854393604850e-01 -9.991376927967339228e-01
8.338714950803671755e+00 2.674134667639543217e+00 -7.622042740048797782e-01
6.992735025532792470e+00 7.160177392219513770e+00 -4.706666033638362556e-02
8.974667770653404375e+00 4.419713582755133707e+00 -7.538606135309258161e-01
3.300674159990045098e+00 2.253497763858180125e+00 -5.625791052120434621e-01
7.014419897795129977e+00 4.735246482942381818e-01 -9.914127403726396004e-01
8.880544185580967920e+00 2.858771014372742947e+00 -8.395452638034976989e-01
2.769310712396826801e+00 4.906753316647938234e+00 4.122711475621709809e-02
3.135251708812011540e+00 8.029183038949456730e+00 3.500666786079698056e-02
4.612179412905972775e+00 2.252668746438225789e+00 -6.618188637626971627e-01
1.780827868040305351e+00 6.111972647176133755e-01 -8.692107653200134010e-01
6.984635013656524727e+00 1.439211395369237034e-01 -1.000225175397840616e+00
3.306474960609519620e+00 5.502961579922405200e+00 3.953902583875956722e-02
7.654751770263946042e+00 5.230537585589313920e+00 -4.603266605078677465e-01
3.930736292140235122e+00 3.661313925266870495e+00 -2.699309006268753031e-01
7.585963159344648155e+00 1.273303832496930355e-01 -9.971208754099010196e-01
7.940953540880271611e+00 6.087072622614519979e+00 -4.064228534802692971e-01
6.170879447399037154e+00 9.066274128185715098e-01 -9.731813162247624494e-01
2.603902908891052359e+00 6.160664381054467675e+00 3.541155574137189177e-02
1.286523318720757425e+00 7.129568670244644579e+00 -4.181752205962454561e-01
1.211922011747987638e+00 8.959448422688396363e+00 -8.955148644390902302e-01
6.313932257780905388e+00 4.601048226873492908e+00 -3.963701004519419868e-01
3.303558162429728551e+00 9.720072920646785519e+00 -7.288952081467594546e-01
2.434990209201743028e+00 2.113189973823106360e+00 -5.225328508551401185e-01
3.551009521173648764e+00 3.308647968074642343e+00 -2.927327311768674889e-01
9.146909514653636109e+00 7.071369226779901318e+00 -6.622410901432220776e-01
8.509663986950839032e+00 9.323583816201336916e+00 6.911520253977843087e-02
2.137604864832425289e+00 9.100972916757369191e+00 -5.452300706522950069e-01
2.491771657794457084e+00 8.425303382034059041e+00 1.531405955979048272e-02
9.781421419235391213e+00 5.962745074904739262e+00 -1.011849882169105541e+00
7.304912125558733926e+00 7.659584380117570035e-01 -9.587677350800754006e-01
4.698457379656218791e+00 9.565408196589002543e+00 -4.827817188849001795e-01
6.491768370734354310e-01 8.960837351268722273e+00 -9.959947403684510370e-01
5.268355100807688096e+00 3.666086801636235237e-01 -9.910573488350317151e-01
5.259590575882383767e+00 4.321064284423301594e+00 -3.460789468774669864e-01
5.547688958720154773e+00 1.943859497929067537e+00 -7.629497825001254618e-01
3.580010675615015181e+00 1.438951192359851250e+00 -7.741438422694506549e-01
8.436599417033233683e-01 4.098057644457360205e+00 -5.436098836277785118e-01
2.917882130227291260e+00 5.200478577015669401e+00 4.088590480278719852e-02
2.879933478341585751e+00 4.313338362583068353e+00 4.412154051385730469e-02
8.844070193067814500e+00 8.240808820757800746e+00 -3.289643952813740002e-01
4.073397705855553164e-01 1.280070272852683599e+00 -7.137906736941450614e-01
4.240652610683725676e+00 5.596233639395249426e-01 -9.317178601558708806e-01
3.670640935853032583e-02 4.213442662118931814e+00 -1.023129613943404514e+00
4.754764319635764735e+00 8.794703531051640821e-01 -9.038710158268516981e-01
9.190747696581901494e+00 5.692500792969585000e+00 -7.774433880121267570e-01
6.994578079861115683e+00 1.915921947672445391e+00 -8.273838312116570393e-01
9.814280941231505295e+00 7.267987951975505290e+00 -9.708039471799724263e-01
6.793733431974530390e+00 7.884471879062340705e+00 4.970316740442681791e-02
3.158762853089586820e+00 1.363547002185875545e+00 -7.843927002584527575e-01
1.425924854678141118e+00 9.758141229866645006e+00 -1.020643581267491662e+00
7.735780783617015821e+00 8.910766252850045532e+00 5.855346616404182025e-02
5.898191546406960084e-01 8.997480729685031875e+00 -9.999527420066804950e-01
8.804174305097848929e+00 6.278938529817792435e+00 -5.842715403896718840e-01
9.913514563395147139e-01 2.711527698125608232e+00 -3.569318049655527680e-01
8.576806737842455064e+00 8.487919744873186900e+00 -1.325036647526071087e-01
2.517411713863368483e+00 8.432436604868424723e+00 2.338363648087549151e-02
3.072164401796129152e+00 5.167910780657999581e+00 4.146942550825416518e-02
4.390196413335824666e+00 7.638526892468091134e+00 4.019267523708469625e-02
7.686681919838161958e-01 4.912373600939726082e+00 -6.204533957849260872e-01
3.844652872137894750e+00 5.104603560248111016e+00 4.001143866731071697e-02
7.944043208412061574e+00 7.071551062950634403e+00 -2.650326282865498317e-01
5.414260163569448281e+00 2.750353985501144738e+00 -6.038289941317918075e-01
8.747731284640869021e+00 8.688820642008012740e+00 -1.490264606196751718e-01
8.816906873079313200e+00 5.523577523765081487e+00 -6.539919981419716200e-01
2.601957620413699601e+00 9.777508107634812262e+00 -8.158516775105262298e-01
8.930650922263215108e+00 8.366410516657088792e+00 -3.460223998811652879e-01
8.032608225057328966e+00 8.077552309597993974e-01 -9.512886671220327495e-01
2.961911143572559801e+00 5.843847141992179139e+00 3.868570455151587595e-02
7.724127392477943665e+00 2.593129352827021172e+00 -7.485533190074700194e-01
8.707651538823164117e+00 6.944292856140448222e+00 -4.940847015710618240e-01
2.840981508778664288e+00 2.539149668578809305e+00 -4.132512272075263837e-01
7.791218298168207212e+00 1.752438758916201822e+00 -8.229523138353292966e-01
1.157600470367201456e-01 2.590316387610461235e-01 -9.620484728899700855e-01
4.913291679718601479e+00 1.048260096185447132e+00 -8.858151947640963142e-01
5.443093501702255033e+00 6.758116010527674078e+00 4.270563261067517047e-02
6.517717843813001011e+00 9.005254450403032962e+00 6.215390685091359835e-02
2.439294283962740284e+00 8.271356515085619421e+00 -1.462063495139442892e-03
8.744988494909951282e-02 1.163529686790481632e+00 -7.767257894627057624e-01
2.061795511387876090e+00 4.952849098761369362e+00 1.254583611572979152e-02
3.829653858516390397e+00 9.181101072718044875e+00 -1.927442377886592340e-01
8.207590868573857890e+00 7.992961636654539959e+00 -1.311479962464620064e-01
5.591554665120966661e+00 8.018132351907249600e+00 4.981214688041224470e-02
8.966329738197661214e+00 1.139921914452990626e+00 -9.700551295221053749e-01
3.388823548269266794e+00 7.689766546981697815e+00 4.137868999062543907e-02
